Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163156,کياسر - سمنان,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,762,549,52,123,19,19,50.0,762.0,4.0,21.0,32.0
163156,کياسر - سمنان,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,906,717,42,122,17,8,54.0,909.0,5.0,48.0,45.0
163156,کياسر - سمنان,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,741,532,46,143,11,9,53.0,741.0,3.0,18.0,10.0
163156,کياسر - سمنان,1398/12/04 00:00:00,1398/12/05 00:00:00,1430.0,903,648,75,157,10,13,51.0,914.0,2.0,38.0,14.0
163156,کياسر - سمنان,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,883,614,74,167,17,11,52.0,883.0,3.0,34.0,11.0
163156,کياسر - سمنان,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,759,512,73,144,20,10,50.0,759.0,2.0,17.0,15.0
163156,کياسر - سمنان,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,443,255,53,120,9,6,48.0,476.0,0.0,8.0,10.0
163156,کياسر - سمنان,1398/12/08 00:00:00,1398/12/09 00:00:00,1325.0,532,370,27,112,12,11,53.0,593.0,4.0,12.0,11.0
163156,کياسر - سمنان,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,921,673,69,160,12,7,53.0,921.0,2.0,39.0,17.0
163156,کياسر - سمنان,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,838,602,59,161,9,7,52.0,838.0,1.0,23.0,8.0
163156,کياسر - سمنان,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,775,522,73,161,13,6,51.0,775.0,0.0,22.0,13.0
163156,کياسر - سمنان,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,499,323,39,121,13,3,47.0,499.0,0.0,8.0,9.0
163156,کياسر - سمنان,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,537,302,53,171,8,3,48.0,543.0,0.0,6.0,7.0
163156,کياسر - سمنان,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,740,479,54,185,14,8,52.0,740.0,3.0,18.0,14.0
163156,کياسر - سمنان,1398/12/15 00:00:00,1398/12/16 00:00:00,1320.0,671,503,44,109,9,6,53.0,813.0,2.0,27.0,6.0
163156,کياسر - سمنان,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,954,724,63,149,11,7,52.0,954.0,3.0,38.0,14.0
163156,کياسر - سمنان,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,597,408,45,129,8,7,50.0,597.0,0.0,15.0,6.0
163156,کياسر - سمنان,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,655,448,50,143,11,3,51.0,655.0,0.0,18.0,6.0
163156,کياسر - سمنان,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,640,454,57,113,9,7,50.0,640.0,2.0,14.0,10.0
163156,کياسر - سمنان,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,611,407,64,125,9,6,50.0,611.0,1.0,7.0,6.0
163156,کياسر - سمنان,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,642,440,49,128,14,11,52.0,642.0,4.0,12.0,4.0
163156,کياسر - سمنان,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,694,510,46,127,8,3,52.0,694.0,0.0,16.0,4.0
163156,کياسر - سمنان,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,705,525,66,102,6,6,52.0,705.0,1.0,17.0,6.0
163156,کياسر - سمنان,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,599,430,46,109,8,6,51.0,599.0,0.0,9.0,7.0
163156,کياسر - سمنان,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,684,500,63,107,7,7,49.0,684.0,3.0,15.0,17.0
163156,کياسر - سمنان,1398/12/26 00:00:00,1398/12/26 23:45:00,1425.0,655,485,57,102,10,1,50.0,657.0,2.0,15.0,9.0
163156,کياسر - سمنان,1398/12/27 02:35:00,1398/12/28 00:00:00,880.0,522,373,43,93,10,3,48.0,685.0,0.0,19.0,7.0
163156,کياسر - سمنان,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,577,447,42,76,7,5,48.0,577.0,0.0,15.0,5.0
163156,کياسر - سمنان,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,530,468,12,42,3,5,54.0,530.0,4.0,17.0,5.0
163156,کياسر - سمنان,1400/01/01 00:00:00,1400/01/02 00:00:00,1400.0,1633,1580,29,22,0,2,60.0,1729.0,39.0,47.0,0.0
163156,کياسر - سمنان,1400/01/02 00:00:00,1400/01/03 00:00:00,1380.0,2060,2004,31,22,1,2,58.0,2060.0,29.0,67.0,0.0
163156,کياسر - سمنان,1400/01/03 00:00:00,1400/01/04 00:00:00,1440.0,2400,2284,61,42,5,8,57.0,2400.0,29.0,83.0,0.0
163156,کياسر - سمنان,1400/01/04 00:00:00,1400/01/04 22:45:00,1365.0,2505,2398,69,27,6,5,59.0,2566.0,100.0,219.0,0.0
163156,کياسر - سمنان,1400/01/05 11:35:00,1400/01/06 00:00:00,745.0,1801,1708,57,34,1,1,57.0,2426.0,18.0,67.0,0.0
163156,کياسر - سمنان,1400/01/06 00:00:00,1400/01/07 00:00:00,1320.0,3158,2958,150,46,2,2,55.0,3619.0,32.0,162.0,0.0
163156,کياسر - سمنان,1400/01/07 00:00:00,1400/01/07 20:10:00,1210.0,1785,1639,106,36,1,3,58.0,2179.0,30.0,61.0,0.0
163156,کياسر - سمنان,1400/01/08 04:15:00,1400/01/09 00:00:00,735.0,1275,1138,94,38,3,2,58.0,3548.0,48.0,73.0,0.0
163156,کياسر - سمنان,1400/01/09 00:00:00,1400/01/10 00:00:00,1440.0,2213,2013,128,60,6,6,57.0,2213.0,43.0,102.0,0.0
163156,کياسر - سمنان,1400/01/10 00:00:00,1400/01/11 00:00:00,1440.0,1895,1734,117,40,2,2,58.0,1895.0,43.0,97.0,0.0
163156,کياسر - سمنان,1400/01/11 00:00:00,1400/01/11 23:55:00,1435.0,2258,2056,143,54,1,4,56.0,2264.0,38.0,154.0,0.0
163156,کياسر - سمنان,1400/01/12 00:00:00,1400/01/13 00:00:00,1410.0,2655,2529,97,24,3,2,56.0,2678.0,23.0,126.0,0.0
163156,کياسر - سمنان,1400/01/13 00:00:00,1400/01/14 00:00:00,1440.0,2436,2355,58,21,2,0,56.0,2436.0,32.0,119.0,0.0
163156,کياسر - سمنان,1400/01/14 00:00:00,1400/01/15 00:00:00,1440.0,1965,1782,118,55,4,6,58.0,1965.0,31.0,110.0,0.0
163156,کياسر - سمنان,1400/01/15 00:00:00,1400/01/16 00:00:00,1440.0,1327,1135,127,58,7,0,57.0,1336.0,33.0,60.0,0.0
163156,کياسر - سمنان,1400/01/16 00:00:00,1400/01/17 00:00:00,1400.0,1074,896,99,74,3,2,56.0,1079.0,26.0,35.0,0.0
163156,کياسر - سمنان,1400/01/17 00:00:00,1400/01/18 00:00:00,1440.0,1142,931,133,71,3,4,54.0,1142.0,17.0,33.0,0.0
163156,کياسر - سمنان,1400/01/18 00:00:00,1400/01/19 00:00:00,1440.0,1140,923,131,80,3,3,53.0,1140.0,15.0,36.0,0.0
163156,کياسر - سمنان,1400/01/19 00:00:00,1400/01/20 00:00:00,1435.0,1471,1265,119,80,4,3,55.0,1478.0,27.0,39.0,0.0
163156,کياسر - سمنان,1400/01/20 00:00:00,1400/01/21 00:00:00,1440.0,1627,1434,121,66,2,4,53.0,1627.0,15.0,47.0,0.0
163156,کياسر - سمنان,1400/01/21 00:00:00,1400/01/22 00:00:00,1435.0,1033,841,106,75,5,6,54.0,1038.0,34.0,26.0,0.0
163156,کياسر - سمنان,1400/01/22 00:00:00,1400/01/23 00:00:00,1440.0,978,741,137,94,3,3,53.0,978.0,9.0,22.0,0.0
163156,کياسر - سمنان,1400/01/23 00:00:00,1400/01/24 00:00:00,1440.0,926,725,116,76,3,6,53.0,926.0,16.0,18.0,0.0
163156,کياسر - سمنان,1400/01/24 00:00:00,1400/01/25 00:00:00,1440.0,1010,757,130,98,9,16,51.0,1010.0,16.0,25.0,0.0
163156,کياسر - سمنان,1400/01/25 00:00:00,1400/01/26 00:00:00,1440.0,889,712,107,59,3,8,53.0,889.0,24.0,14.0,0.0
163156,کياسر - سمنان,1400/01/26 00:00:00,1400/01/27 00:00:00,1440.0,1140,948,108,72,3,9,54.0,1157.0,22.0,41.0,0.0
163156,کياسر - سمنان,1400/01/27 00:00:00,1400/01/28 00:00:00,1435.0,1226,1043,109,70,2,2,55.0,1229.0,22.0,40.0,0.0
163156,کياسر - سمنان,1400/01/28 00:00:00,1400/01/29 00:00:00,1435.0,886,688,125,62,3,8,52.0,889.0,11.0,20.0,0.0
163156,کياسر - سمنان,1400/01/29 00:00:00,1400/01/30 00:00:00,1440.0,792,583,127,79,1,2,55.0,796.0,13.0,10.0,0.0
163156,کياسر - سمنان,1400/01/30 00:00:00,1400/01/31 00:00:00,1440.0,839,655,104,75,1,4,52.0,839.0,7.0,14.0,0.0
163156,کياسر - سمنان,1400/01/31 00:00:00,1400/02/01 00:00:00,1440.0,816,618,120,69,5,4,54.0,816.0,20.0,22.0,0.0
