Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163160,کياسر - ساري (گرماب),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,1734,1593,126,14,1,0,44.0,1736,0.0,19.0,103.0
163160,کياسر - ساري (گرماب),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,2470,2389,70,11,0,0,49.0,2478,2.0,57.0,177.0
163160,کياسر - ساري (گرماب),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,1946,1787,123,32,3,1,47.0,1949,0.0,40.0,109.0
163160,کياسر - ساري (گرماب),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,1984,1717,240,23,3,1,46.0,1987,1.0,63.0,119.0
163160,کياسر - ساري (گرماب),1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,2174,1897,251,25,1,0,47.0,2177,1.0,65.0,158.0
163160,کياسر - ساري (گرماب),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,1674,1451,199,22,2,0,45.0,1755,0.0,31.0,100.0
163160,کياسر - ساري (گرماب),1398/12/07 00:00:00,1398/12/08 00:00:00,1355.0,1040,871,159,7,1,2,43.0,1180,1.0,9.0,95.0
163160,کياسر - ساري (گرماب),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,1661,1449,197,13,2,0,45.0,1662,0.0,40.0,115.0
163160,کياسر - ساري (گرماب),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,2573,2420,131,18,2,2,48.0,2575,0.0,91.0,187.0
163160,کياسر - ساري (گرماب),1398/12/10 00:00:00,1398/12/11 00:00:00,1370.0,1780,1524,237,16,2,1,45.0,1913,0.0,64.0,112.0
163160,کياسر - ساري (گرماب),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,1986,1501,336,136,6,7,57.0,1990,6.0,82.0,146.0
163160,کياسر - ساري (گرماب),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,1270,876,175,208,8,3,61.0,1273,0.0,35.0,84.0
163160,کياسر - ساري (گرماب),1398/12/13 00:00:00,1398/12/14 00:00:00,1390.0,1293,896,194,188,7,8,62.0,1355,0.0,19.0,97.0
163160,کياسر - ساري (گرماب),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,1640,1229,184,215,8,4,68.0,1642,1.0,75.0,111.0
163160,کياسر - ساري (گرماب),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,1787,1326,211,219,14,17,70.0,1789,25.0,77.0,80.0
163160,کياسر - ساري (گرماب),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,2805,2364,207,208,6,20,73.0,2808,47.0,169.0,209.0
163160,کياسر - ساري (گرماب),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,1773,1304,202,252,8,7,70.0,1776,1.0,112.0,105.0
163160,کياسر - ساري (گرماب),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,1741,1253,197,271,13,7,71.0,1744,6.0,97.0,138.0
163160,کياسر - ساري (گرماب),1398/12/19 00:00:00,1398/12/19 23:55:00,1425.0,1596,1058,210,309,8,11,70.0,1604,2.0,83.0,93.0
163160,کياسر - ساري (گرماب),1398/12/20 00:40:00,1398/12/21 00:00:00,1395.0,1615,993,252,308,26,36,75.0,1633,47.0,92.0,102.0
163160,کياسر - ساري (گرماب),1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,1640,1060,275,266,23,16,73.0,1642,34.0,80.0,105.0
