Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163355,کياکلا - بابل,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,5311,5199,93,10,2,7,62.0,5320.0,246.0,173.0,248.0
163355,کياکلا - بابل,1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,4263,4200,50,6,3,4,65.0,4271.0,259.0,128.0,170.0
163355,کياکلا - بابل,1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,4683,4558,104,17,1,3,64.0,4690.0,250.0,164.0,173.0
163355,کياکلا - بابل,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,4809,4663,124,18,3,1,64.0,4820.0,248.0,289.0,238.0
163355,کياکلا - بابل,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,4683,4524,138,15,4,2,64.0,4692.0,247.0,206.0,218.0
163355,کياکلا - بابل,1398/12/06 00:00:00,1398/12/07 00:00:00,1270.0,3777,3641,112,16,2,6,63.0,4404.0,170.0,135.0,174.0
163355,کياکلا - بابل,1398/12/07 00:00:00,1398/12/08 00:00:00,1380.0,3734,3645,73,13,1,2,63.0,3829.0,153.0,104.0,195.0
163355,کياکلا - بابل,1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,4614,4496,98,13,2,5,63.0,4620.0,199.0,211.0,224.0
163355,کياکلا - بابل,1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,4081,3982,80,11,0,8,66.0,4104.0,282.0,260.0,192.0
163355,کياکلا - بابل,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,4593,4470,99,16,2,6,62.0,4602.0,193.0,138.0,223.0
163355,کياکلا - بابل,1398/12/11 00:00:00,1398/12/12 00:00:00,1375.0,4093,3956,122,13,2,0,62.0,4313.0,169.0,126.0,190.0
163355,کياکلا - بابل,1398/12/12 00:00:00,1398/12/13 00:00:00,1385.0,3308,3205,84,13,1,5,64.0,3529.0,148.0,107.0,144.0
163355,کياکلا - بابل,1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,3739,3650,78,8,0,3,64.0,3745.0,166.0,118.0,172.0
163355,کياکلا - بابل,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,4320,4213,96,10,0,1,65.0,4328.0,272.0,159.0,202.0
163355,کياکلا - بابل,1398/12/15 00:00:00,1398/12/16 00:00:00,1375.0,4598,4480,96,14,1,7,64.0,4619.0,258.0,183.0,222.0
163355,کياکلا - بابل,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,3660,3571,78,7,1,3,66.0,3665.0,232.0,121.0,176.0
163355,کياکلا - بابل,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,3941,3832,92,9,3,5,61.0,3953.0,170.0,105.0,277.0
163355,کياکلا - بابل,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,3359,3244,103,10,0,2,67.0,3363.0,250.0,114.0,148.0
163355,کياکلا - بابل,1398/12/19 00:00:00,1398/12/20 00:00:00,1430.0,3647,3513,118,13,0,3,66.0,3661.0,240.0,128.0,173.0
