Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163204,گتاب - بابل,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,18175,17445,552,74,29,75,76.0,18223.0,281.0,1421.0,0.0
163204,گتاب - بابل,1398/12/02 00:00:00,1398/12/03 00:00:00,1380.0,15550,15121,357,42,3,27,79.0,16650.0,371.0,1161.0,0.0
163204,گتاب - بابل,1398/12/03 00:00:00,1398/12/04 00:00:00,1285.0,14992,14260,589,65,18,60,78.0,16578.0,312.0,1202.0,0.0
163204,گتاب - بابل,1398/12/04 00:00:00,1398/12/05 00:00:00,1325.0,13896,13234,532,64,18,48,79.0,15627.0,359.0,973.0,0.0
163204,گتاب - بابل,1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,15042,14313,563,85,18,63,79.0,15715.0,363.0,1088.0,0.0
163204,گتاب - بابل,1398/12/06 00:00:00,1398/12/07 00:00:00,1380.0,14286,13594,551,72,13,56,77.0,14950.0,290.0,1054.0,0.0
163204,گتاب - بابل,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,13705,13180,408,55,15,47,75.0,13743.0,165.0,792.0,0.0
163204,گتاب - بابل,1398/12/08 00:00:00,1398/12/09 00:00:00,1380.0,15302,14636,535,69,19,43,79.0,16171.0,409.0,1152.0,0.0
163204,گتاب - بابل,1398/12/09 00:00:00,1398/12/09 23:15:00,1390.0,14923,14364,445,68,11,35,79.0,15412.0,380.0,1134.0,0.0
163204,گتاب - بابل,1398/12/10 00:10:00,1398/12/11 00:00:00,1315.0,13816,13066,577,83,14,76,79.0,15890.0,340.0,1078.0,0.0
163204,گتاب - بابل,1398/12/11 00:00:00,1398/12/11 03:20:00,200.0,245,236,7,0,0,2,79.0,14552.0,7.0,4.0,0.0
163204,گتاب - بابل,1398/12/12 13:15:00,1398/12/13 00:00:00,645.0,6627,6321,218,41,6,41,75.0,14356.0,104.0,378.0,0.0
163204,گتاب - بابل,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,12415,11800,466,83,11,55,76.0,13288.0,214.0,728.0,0.0
163204,گتاب - بابل,1398/12/14 00:00:00,1398/12/15 00:00:00,1270.0,12276,11641,485,61,12,77,79.0,14560.0,302.0,829.0,0.0
163204,گتاب - بابل,1398/12/15 00:00:00,1398/12/16 00:00:00,1380.0,14227,13538,527,78,21,63,80.0,15304.0,421.0,989.0,0.0
163204,گتاب - بابل,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,14032,13518,413,66,9,26,78.0,14050.0,346.0,972.0,0.0
163204,گتاب - بابل,1398/12/17 00:00:00,1398/12/18 00:00:00,1325.0,12647,12090,417,57,18,65,78.0,13969.0,263.0,759.0,0.0
163204,گتاب - بابل,1398/12/18 00:00:00,1398/12/19 00:00:00,1380.0,11640,11092,422,46,13,67,79.0,12078.0,300.0,594.0,0.0
163204,گتاب - بابل,1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,13066,12439,481,66,17,63,78.0,13170.0,375.0,782.0,0.0
163204,گتاب - بابل,1398/12/20 00:00:00,1398/12/21 00:00:00,1375.0,12094,11508,443,76,6,61,79.0,13040.0,325.0,775.0,0.0
163204,گتاب - بابل,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,12979,12362,474,69,14,60,79.0,13023.0,357.0,831.0,0.0
163204,گتاب - بابل,1398/12/22 00:00:00,1398/12/23 00:00:00,1380.0,12307,11723,460,71,9,44,80.0,13063.0,354.0,808.0,0.0
163204,گتاب - بابل,1398/12/23 00:00:00,1398/12/23 10:20:00,560.0,1586,1511,59,5,1,10,78.0,15012.0,35.0,30.0,0.0
163204,گتاب - بابل,1398/12/24 12:55:00,1398/12/25 00:00:00,640.0,10377,9895,400,52,2,28,79.0,20124.0,603.0,469.0,0.0
