Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/01 00:00:00,1398/12/02 00:00:00,1440,9427,7169,514,1002,75,667,55.0,10,1160,0,9427.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/02 00:00:00,1398/12/03 00:00:00,1440,7961,6148,373,785,34,621,59.0,11,919,0,7961.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/03 00:00:00,1398/12/04 00:00:00,1440,7168,5103,397,879,66,723,57.0,11,646,0,7168.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/04 00:00:00,1398/12/05 00:00:00,1440,9013,6657,495,1008,77,776,59.0,20,1135,0,9013.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/05 00:00:00,1398/12/06 00:00:00,1440,9503,6908,601,1014,72,908,58.0,23,1358,0,9503.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/06 00:00:00,1398/12/07 00:00:00,1440,9185,6521,596,1136,79,853,54.0,13,1100,0,9185.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/07 00:00:00,1398/12/08 00:00:00,1440,6037,4093,434,875,60,575,39.0,1,672,0,8638.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/08 00:00:00,1398/12/09 00:00:00,1440,10013,7294,632,1239,48,800,52.0,13,1646,0,10013.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/09 00:00:00,1398/12/10 00:00:00,1440,6862,4822,399,872,45,724,56.0,13,661,0,6862.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/10 00:00:00,1398/12/11 00:00:00,1440,7029,4770,470,939,55,795,55.0,11,665,0,7029.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/11 00:00:00,1398/12/12 00:00:00,1440,7066,4606,556,1000,74,830,53.0,11,683,0,7066.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/12 00:00:00,1398/12/13 00:00:00,1440,6123,3807,464,972,47,833,47.0,9,453,0,6123.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/13 00:00:00,1398/12/14 00:00:00,1440,6294,4102,458,822,46,866,48.0,3,462,0,6294.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/14 00:00:00,1398/12/15 00:00:00,1440,9011,6495,532,1076,57,851,56.0,12,1458,0,9011.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/15 00:00:00,1398/12/16 00:00:00,1440,9036,6548,580,1036,65,807,58.0,15,1244,0,9036.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/16 00:00:00,1398/12/17 00:00:00,1440,5695,3878,389,735,50,643,57.0,12,651,0,6773.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/17 00:00:00,1398/12/18 00:00:00,1440,4907,2838,450,800,53,766,52.0,9,347,0,4907.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/18 00:00:00,1398/12/19 00:00:00,1440,4497,2563,400,770,41,723,51.0,5,282,0,4497.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/19 00:00:00,1398/12/20 00:00:00,1440,4829,2793,407,816,54,759,53.0,6,274,0,4829.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/20 00:00:00,1398/12/21 00:00:00,1440,5295,3061,515,876,53,790,50.0,5,332,0,5295.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/21 00:00:00,1398/12/22 00:00:00,1440,5973,3630,517,942,66,818,53.0,9,478,0,5973.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/22 00:00:00,1398/12/23 00:00:00,1440,5912,3717,477,918,60,740,55.0,7,431,0,5912.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/23 00:00:00,1398/12/24 00:00:00,1440,4787,3124,341,660,45,617,55.0,8,278,0,4787.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/24 00:00:00,1398/12/25 00:00:00,1440,6275,4315,415,820,48,677,59.0,11,527,0,6275.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/25 00:00:00,1398/12/26 00:00:00,1440,6883,4651,529,910,63,730,58.0,9,606,0,6883.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/26 00:00:00,1398/12/27 00:00:00,1440,7253,4929,573,956,55,740,58.0,18,737,0,7253.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/27 00:00:00,1398/12/28 00:00:00,1440,7355,5180,567,895,42,671,52.0,7,809,0,7355.0
163107,فيروزکوه - قائمشهر (گدوک - ورسک),1398/12/28 00:00:00,1398/12/29 00:00:00,1440,7210,5627,353,636,40,554,57.0,6,751,0,7210.0
