Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,7328,5396,859,375,186,512,59.0,7350,57.0,215.0,0.0
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,11712,9796,911,372,155,478,63.0,12821,257.0,1145.0,0.0
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/03 00:00:00,1398/12/04 00:00:00,1375.0,9213,7312,825,300,198,578,63.0,9769,155.0,414.0,0.0
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/04 00:00:00,1398/12/05 00:00:00,1385.0,8780,6565,935,369,240,671,63.0,9172,206.0,389.0,0.0
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,8692,6445,1017,310,238,682,61.0,8714,143.0,401.0,0.0
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,7986,5686,1013,365,250,672,56.0,8314,71.0,268.0,0.0
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/07 00:00:00,1398/12/08 00:00:00,1380.0,5689,4058,726,297,182,426,43.0,8037,32.0,398.0,0.0
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/08 00:00:00,1398/12/09 00:00:00,1330.0,5980,4156,816,365,194,449,57.0,6728,69.0,186.0,0.0
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/09 00:00:00,1398/12/10 00:00:00,1375.0,9539,7446,1016,356,169,552,57.0,10364,69.0,589.0,0.0
164107,قائمشهر - فيروزکوه (گرزين خيل - ورسک),1398/12/10 00:00:00,1398/12/11 00:00:00,1325.0,7639,5626,872,279,198,664,62.0,8576,213.0,284.0,0.0
