Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,10032,8306,801,225,225,475,69.0,10048,245.0,185.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,8616,7177,617,202,204,416,70.0,8625,312.0,146.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,7648,6021,686,223,198,520,69.0,7658,246.0,94.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/04 00:00:00,1398/12/05 00:00:00,1430.0,9474,7676,750,265,220,563,70.0,9531,349.0,169.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,9425,7539,761,262,223,640,70.0,9950,425.0,224.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,9261,7331,866,245,269,550,62.0,9648,305.0,149.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,6430,5100,557,216,205,352,46.0,9310,20.0,49.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,10674,8648,905,281,267,573,64.0,10685,276.0,230.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,7161,5643,618,230,223,447,68.0,7468,404.0,98.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/10 00:00:00,1398/12/11 00:00:00,1320.0,6821,5214,639,239,166,563,68.0,7349,241.0,104.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,7382,5433,804,266,216,663,66.0,7398,223.0,138.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,6336,4251,865,309,179,732,63.0,6342,108.0,98.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,6605,4713,746,302,204,640,62.0,6614,95.0,110.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,9443,7257,974,353,217,642,69.0,9456,330.0,334.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,9572,7322,979,371,160,740,71.0,9589,471.0,317.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,6193,4600,624,294,154,521,69.0,6568,248.0,158.0,0.0
164156,فيروزکوه - قائمشهر (گرزين خيل - پل سفيد),1398/12/17 00:00:00,1398/12/18 00:00:00,1375.0,5190,3328,772,269,202,619,65.0,5354,153.0,89.0,0.0
