Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163110,ساري - کياسر (گرماب),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,3071,2709,222,130,10,0,64.0,3077,38.0,146.0,146.0
163110,ساري - کياسر (گرماب),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,2697,2472,127,90,8,0,67.0,2738,88.0,122.0,143.0
163110,ساري - کياسر (گرماب),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,2403,2027,236,122,13,5,66.0,2411,57.0,128.0,108.0
163110,ساري - کياسر (گرماب),1398/12/04 00:00:00,1398/12/05 00:00:00,1430.0,2613,2166,261,169,12,5,64.0,2632,41.0,141.0,119.0
163110,ساري - کياسر (گرماب),1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,2739,2270,294,158,12,5,65.0,2747,62.0,163.0,138.0
163110,ساري - کياسر (گرماب),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,2102,1686,253,150,11,2,63.0,2216,31.0,91.0,81.0
163110,ساري - کياسر (گرماب),1398/12/07 00:00:00,1398/12/08 00:00:00,1355.0,1289,1001,162,116,7,3,58.0,1475,29.0,44.0,67.0
163110,ساري - کياسر (گرماب),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,2676,2338,180,146,10,2,65.0,2694,68.0,139.0,128.0
163110,ساري - کياسر (گرماب),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,2848,2518,184,137,9,0,66.0,3122,76.0,170.0,132.0
163110,ساري - کياسر (گرماب),1398/12/10 00:00:00,1398/12/11 00:00:00,1370.0,2672,2244,217,190,12,9,65.0,2997,55.0,127.0,122.0
163110,ساري - کياسر (گرماب),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,2401,1863,257,262,9,10,65.0,2409,36.0,152.0,127.0
163110,ساري - کياسر (گرماب),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,1153,814,167,162,9,1,60.0,1156,1.0,44.0,67.0
163110,ساري - کياسر (گرماب),1398/12/13 00:00:00,1398/12/14 00:00:00,1390.0,1276,857,170,237,7,5,61.0,1363,1.0,59.0,68.0
163110,ساري - کياسر (گرماب),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,1886,1436,184,251,13,2,65.0,1890,1.0,140.0,105.0
163110,ساري - کياسر (گرماب),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,2626,2219,167,225,8,7,66.0,2631,4.0,275.0,197.0
163110,ساري - کياسر (گرماب),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,2273,1909,156,194,11,3,67.0,2288,6.0,220.0,140.0
163110,ساري - کياسر (گرماب),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,1676,1253,212,202,8,1,66.0,1681,3.0,98.0,93.0
163110,ساري - کياسر (گرماب),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,1555,1180,232,133,7,3,66.0,1558,3.0,82.0,89.0
163110,ساري - کياسر (گرماب),1398/12/19 00:00:00,1398/12/19 23:55:00,1425.0,1647,1256,216,164,6,5,65.0,1654,1.0,83.0,97.0
163110,ساري - کياسر (گرماب),1398/12/20 00:40:00,1398/12/21 00:00:00,1395.0,1712,1290,248,159,13,2,65.0,1736,5.0,108.0,97.0
163110,ساري - کياسر (گرماب),1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,1836,1425,232,167,10,2,64.0,1841,4.0,117.0,109.0
163110,ساري - کياسر (گرماب),1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,2280,1930,199,138,13,0,65.0,2285,9.0,157.0,135.0
163110,ساري - کياسر (گرماب),1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,1695,1410,167,107,7,4,67.0,1699,4.0,113.0,99.0
163110,ساري - کياسر (گرماب),1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,1889,1492,232,134,12,19,66.0,1892,41.0,103.0,109.0
163110,ساري - کياسر (گرماب),1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,2352,2017,204,116,9,6,69.0,2365,89.0,123.0,91.0
163110,ساري - کياسر (گرماب),1398/12/26 00:00:00,1398/12/27 00:00:00,1445.0,2443,2102,203,116,16,6,68.0,2438,92.0,135.0,95.0
163110,ساري - کياسر (گرماب),1398/12/27 00:00:00,1398/12/28 00:00:00,1445.0,2132,1780,232,108,9,3,66.0,2128,57.0,79.0,114.0
163110,ساري - کياسر (گرماب),1398/12/28 00:00:00,1398/12/29 00:00:00,1445.0,1807,1572,145,75,10,5,68.0,1803,41.0,90.0,84.0
163110,ساري - کياسر (گرماب),1398/12/29 00:00:00,1398/12/29 01:35:00,65.0,8,7,0,1,0,0,47.0,168,0.0,1.0,0.0
163110,ساري - کياسر (گرماب),1400/01/01 00:00:00,1400/01/02 00:00:00,1375.0,3826,3729,50,41,3,3,67.0,4100,10.0,624.0,0.0
163110,ساري - کياسر (گرماب),1400/01/02 00:00:00,1400/01/03 00:00:00,1375.0,3814,3717,66,27,2,2,67.0,3874,9.0,555.0,0.0
163110,ساري - کياسر (گرماب),1400/01/03 00:00:00,1400/01/04 00:00:00,1435.0,4250,4100,95,48,3,4,66.0,4253,14.0,626.0,0.0
163110,ساري - کياسر (گرماب),1400/01/04 00:00:00,1400/01/05 00:00:00,1435.0,4309,4151,103,47,5,3,64.0,4311,9.0,703.0,0.0
163110,ساري - کياسر (گرماب),1400/01/05 00:00:00,1400/01/06 00:00:00,1435.0,4230,4068,83,70,7,2,66.0,4233,14.0,617.0,0.0
163110,ساري - کياسر (گرماب),1400/01/06 00:00:00,1400/01/07 00:00:00,1440.0,4007,3827,112,63,2,3,66.0,4007,19.0,592.0,0.0
163110,ساري - کياسر (گرماب),1400/01/07 00:00:00,1400/01/08 00:00:00,1440.0,2937,2676,152,94,8,7,66.0,2950,58.0,432.0,0.0
163110,ساري - کياسر (گرماب),1400/01/08 00:00:00,1400/01/09 00:00:00,1405.0,2204,1916,139,79,9,61,65.0,2430,134.0,405.0,0.0
163110,ساري - کياسر (گرماب),1400/01/09 00:00:00,1400/01/10 00:00:00,1365.0,3243,2993,133,112,4,1,62.0,3623,13.0,371.0,0.0
163110,ساري - کياسر (گرماب),1400/01/10 00:00:00,1400/01/11 00:00:00,1435.0,3460,3158,179,119,3,1,66.0,3464,14.0,421.0,0.0
163110,ساري - کياسر (گرماب),1400/01/11 00:00:00,1400/01/11 23:55:00,1395.0,3975,3690,150,128,4,3,66.0,4124,7.0,573.0,0.0
163110,ساري - کياسر (گرماب),1400/01/12 00:00:00,1400/01/13 00:00:00,1435.0,5485,5323,97,60,2,3,65.0,5488,15.0,946.0,0.0
163110,ساري - کياسر (گرماب),1400/01/13 00:00:00,1400/01/14 00:00:00,1435.0,2897,2823,43,30,1,0,69.0,2903,23.0,257.0,0.0
163110,ساري - کياسر (گرماب),1400/01/14 00:00:00,1400/01/15 00:00:00,1395.0,2629,2349,169,97,4,10,66.0,2780,36.0,347.0,0.0
163110,ساري - کياسر (گرماب),1400/01/15 00:00:00,1400/01/16 00:00:00,1440.0,2181,1825,185,138,4,29,65.0,2181,40.0,257.0,0.0
163110,ساري - کياسر (گرماب),1400/01/16 00:00:00,1400/01/17 00:00:00,1440.0,2256,1921,201,133,1,0,65.0,2256,7.0,195.0,0.0
163110,ساري - کياسر (گرماب),1400/01/17 00:00:00,1400/01/18 00:00:00,1440.0,2354,1983,205,159,4,3,65.0,2354,4.0,224.0,0.0
163110,ساري - کياسر (گرماب),1400/01/18 00:00:00,1400/01/19 00:00:00,1435.0,2549,2188,186,171,1,3,66.0,2553,13.0,232.0,0.0
163110,ساري - کياسر (گرماب),1400/01/19 00:00:00,1400/01/20 00:00:00,1395.0,4062,3757,165,134,3,3,62.0,4143,7.0,517.0,0.0
163110,ساري - کياسر (گرماب),1400/01/20 00:00:00,1400/01/21 00:00:00,1435.0,3282,3047,135,98,1,1,67.0,3289,16.0,401.0,0.0
163110,ساري - کياسر (گرماب),1400/01/21 00:00:00,1400/01/22 00:00:00,1440.0,2099,1760,185,144,4,6,66.0,2099,8.0,170.0,0.0
163110,ساري - کياسر (گرماب),1400/01/22 00:00:00,1400/01/23 00:00:00,1440.0,2085,1701,223,156,1,4,66.0,2085,10.0,169.0,0.0
163110,ساري - کياسر (گرماب),1400/01/23 00:00:00,1400/01/24 00:00:00,1435.0,2270,1890,203,171,1,5,63.0,2276,3.0,167.0,0.0
163110,ساري - کياسر (گرماب),1400/01/24 00:00:00,1400/01/25 00:00:00,1440.0,2415,1971,242,185,4,13,65.0,2415,8.0,232.0,0.0
