Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163258,آمل - رودهن (گزنک - پلور),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,9337,7697,831,365,143,301,53.0,9354.0,134.0,3499.0,3707.0
163258,آمل - رودهن (گزنک - پلور),1398/12/02 00:00:00,1398/12/03 00:00:00,1355.0,12360,11291,668,192,105,104,60.0,13115.0,222.0,4867.0,4524.0
163258,آمل - رودهن (گزنک - پلور),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,10033,8846,835,151,110,91,60.0,10431.0,98.0,2021.0,1173.0
163258,آمل - رودهن (گزنک - پلور),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,9891,8634,828,182,124,123,61.0,9922.0,114.0,2648.0,1648.0
163258,آمل - رودهن (گزنک - پلور),1398/12/05 00:00:00,1398/12/06 00:00:00,1395.0,8414,7265,755,156,108,130,58.0,8678.0,85.0,1881.0,1329.0
163258,آمل - رودهن (گزنک - پلور),1398/12/06 00:00:00,1398/12/07 00:00:00,1370.0,7585,6494,647,185,92,167,50.0,8419.0,92.0,2414.0,2284.0
163258,آمل - رودهن (گزنک - پلور),1398/12/07 00:00:00,1398/12/08 00:00:00,1350.0,4311,3660,299,158,50,144,49.0,5684.0,59.0,1557.0,1748.0
163258,آمل - رودهن (گزنک - پلور),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,6896,6146,407,142,65,136,58.0,6909.0,77.0,2130.0,1432.0
163258,آمل - رودهن (گزنک - پلور),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,9698,8931,467,107,92,101,62.0,9716.0,125.0,2590.0,1918.0
163258,آمل - رودهن (گزنک - پلور),1398/12/10 00:00:00,1398/12/11 00:00:00,1360.0,8675,7620,763,120,94,78,61.0,9260.0,126.0,2033.0,1736.0
163258,آمل - رودهن (گزنک - پلور),1398/12/11 00:00:00,1398/12/12 00:00:00,1355.0,7611,6799,456,189,76,91,60.0,8124.0,71.0,1762.0,1850.0
163258,آمل - رودهن (گزنک - پلور),1398/12/12 00:00:00,1398/12/13 00:00:00,1315.0,6271,5779,278,136,21,57,49.0,7279.0,78.0,1987.0,1655.0
163258,آمل - رودهن (گزنک - پلور),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,7095,6312,383,226,42,132,55.0,7108.0,88.0,2153.0,1754.0
163258,آمل - رودهن (گزنک - پلور),1398/12/14 00:00:00,1398/12/15 00:00:00,1395.0,8094,7402,380,207,38,67,61.0,8433.0,107.0,2293.0,2486.0
163258,آمل - رودهن (گزنک - پلور),1398/12/15 00:00:00,1398/12/16 00:00:00,1395.0,7220,6635,330,161,32,62,62.0,7545.0,112.0,2002.0,1891.0
163258,آمل - رودهن (گزنک - پلور),1398/12/16 00:00:00,1398/12/17 00:00:00,1280.0,9564,9161,262,117,6,18,60.0,11398.0,103.0,1978.0,1203.0
163258,آمل - رودهن (گزنک - پلور),1398/12/17 00:00:00,1398/12/18 00:00:00,1395.0,7491,6852,380,140,27,92,62.0,7973.0,104.0,2065.0,1944.0
