Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163266,رودهن - آمل (گزنک - پنجاب),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,10095,9098,612,258,123,4,53.0,10110,196.0,956.0,456.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/02 00:00:00,1398/12/03 00:00:00,1390.0,7401,6659,410,194,135,3,64.0,7813,289.0,994.0,220.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/03 00:00:00,1398/12/04 00:00:00,1315.0,8029,6784,836,272,137,0,60.0,8619,265.0,1137.0,277.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,10501,8872,1069,418,139,3,58.0,10519,331.0,1393.0,382.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,9975,8374,1024,438,135,4,58.0,10274,334.0,1300.0,374.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,6858,5730,795,251,76,6,55.0,8042,163.0,576.0,245.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,6068,5426,389,194,57,2,51.0,6843,86.0,372.0,285.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/08 00:00:00,1398/12/09 00:00:00,1395.0,8763,7891,536,239,93,4,60.0,9318,326.0,1056.0,374.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,6576,5833,416,218,108,1,66.0,6592,392.0,854.0,245.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/10 00:00:00,1398/12/11 00:00:00,1390.0,7833,6528,855,305,126,19,60.0,8220,328.0,1575.0,424.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,7827,6231,1078,397,113,8,60.0,7840,348.0,1214.0,402.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,6396,4948,955,385,104,4,52.0,6626,105.0,592.0,220.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,7016,5643,955,331,84,3,59.0,7027,335.0,903.0,339.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,9465,8156,877,328,97,7,61.0,9479,471.0,1383.0,449.0
163266,رودهن - آمل (گزنک - پنجاب),1398/12/15 00:00:00,1398/12/16 00:00:00,1395.0,9416,8288,751,284,90,3,63.0,9616,573.0,1353.0,483.0
