Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163551,گلوگاه - بهشهر,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,15401,12943,508,918,279,753,87.0,96.0,2035.0,0.0,15401.0
163551,گلوگاه - بهشهر,1398/12/02 00:00:00,1398/12/03 00:00:00,1275.0,11738,10031,347,602,165,593,90.0,97.0,1511.0,0.0,14836.0
163551,گلوگاه - بهشهر,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,15085,12339,575,1035,295,841,89.0,161.0,1883.0,0.0,15085.0
163551,گلوگاه - بهشهر,1398/12/04 00:00:00,1398/12/05 00:00:00,1420.0,14892,12219,564,1059,290,760,90.0,144.0,1805.0,0.0,15020.0
163551,گلوگاه - بهشهر,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,14492,11779,607,1036,284,786,89.0,162.0,1701.0,0.0,14492.0
163551,گلوگاه - بهشهر,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,13180,10507,627,1040,280,726,87.0,169.0,1428.0,0.0,13180.0
163551,گلوگاه - بهشهر,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,10865,8668,470,915,152,660,86.0,99.0,978.0,0.0,10865.0
163551,گلوگاه - بهشهر,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,13045,10832,460,811,242,700,90.0,133.0,1499.0,0.0,13045.0
163551,گلوگاه - بهشهر,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,12662,10495,510,805,194,658,89.0,107.0,1424.0,0.0,12662.0
163551,گلوگاه - بهشهر,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,13451,10769,602,1050,252,778,89.0,144.0,1455.0,0.0,13451.0
163551,گلوگاه - بهشهر,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,12902,10239,620,1028,253,762,88.0,111.0,1349.0,0.0,12902.0
163551,گلوگاه - بهشهر,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,10659,8208,535,975,239,702,86.0,127.0,936.0,0.0,10659.0
163551,گلوگاه - بهشهر,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,10700,8381,488,928,218,685,88.0,108.0,947.0,0.0,10700.0
163551,گلوگاه - بهشهر,1398/12/14 00:00:00,1398/12/15 00:00:00,1430.0,11734,9276,554,1004,202,698,89.0,122.0,1172.0,0.0,11830.0
163551,گلوگاه - بهشهر,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,11705,9367,489,916,210,723,89.0,140.0,1154.0,0.0,11705.0
