Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163510,گلوگاه - کردکوي (گلوگاه),1401/12/01 00:00:00,1401/12/02 00:00:00,1440,15433,12175,1577,765,344,572,87,1853,2081,0,15433
163510,گلوگاه - کردکوي (گلوگاه),1401/12/02 00:00:00,1401/12/03 00:00:00,1440,15331,12115,1513,814,319,570,87,1829,2101,0,15331
163510,گلوگاه - کردکوي (گلوگاه),1401/12/03 00:00:00,1401/12/04 00:00:00,1440,16154,12847,1512,822,375,598,86,1831,2504,0,16154
163510,گلوگاه - کردکوي (گلوگاه),1401/12/04 00:00:00,1401/12/05 00:00:00,1440,17311,13858,1697,791,350,615,88,2330,2670,0,17311
163510,گلوگاه - کردکوي (گلوگاه),1401/12/05 00:00:00,1401/12/06 00:00:00,1440,16347,13870,1075,558,314,530,85,1661,2577,0,16347
163510,گلوگاه - کردکوي (گلوگاه),1401/12/06 00:00:00,1401/12/07 00:00:00,1440,14089,11225,1291,649,324,600,88,1738,1772,0,14089
163510,گلوگاه - کردکوي (گلوگاه),1401/12/07 00:00:00,1401/12/08 00:00:00,1430,14830,11566,1455,815,372,622,87,1678,1983,0,14881
163510,گلوگاه - کردکوي (گلوگاه),1401/12/08 00:00:00,1401/12/09 00:00:00,1335,13240,10284,1324,721,328,583,87,1622,1710,0,14793
163510,گلوگاه - کردکوي (گلوگاه),1401/12/09 00:00:00,1401/12/10 00:00:00,1435,15453,12045,1589,786,392,641,87,1861,2231,0,15499
163510,گلوگاه - کردکوي (گلوگاه),1401/12/10 00:00:00,1401/12/11 00:00:00,1365,16090,12700,1480,835,360,715,85,1593,2491,0,16512
163510,گلوگاه - کردکوي (گلوگاه),1401/12/11 00:00:00,1401/12/12 00:00:00,1440,17233,13848,1538,778,395,674,87,1989,2632,0,17233
163510,گلوگاه - کردکوي (گلوگاه),1401/12/12 00:00:00,1401/12/13 00:00:00,1440,17677,14689,1319,708,364,597,87,1980,3156,0,17677
163510,گلوگاه - کردکوي (گلوگاه),1401/12/13 00:00:00,1401/12/14 00:00:00,1415,14500,11575,1259,710,358,598,88,1752,2034,0,14813
163510,گلوگاه - کردکوي (گلوگاه),1401/12/14 00:00:00,1401/12/15 00:00:00,1440,14814,11537,1476,760,365,676,87,1736,1910,0,14814
163510,گلوگاه - کردکوي (گلوگاه),1401/12/15 00:00:00,1401/12/16 00:00:00,1440,15409,12083,1450,803,396,677,86,1666,2193,0,15409
